ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
231912_s_at	6.21e-01	5.49e-01	-0.604695	-7.200977	-0.1758471	TECPR1	tectonin beta-propeller repeat containing 1
235269_at	6.21e-01	5.49e-01	0.604418	-7.201146	0.1566418	FAM83F	family with sequence similarity 83 member F
227226_at	6.21e-01	5.49e-01	-0.60426	-7.201243	-0.2253416	MRAP2	melanocortin 2 receptor accessory protein 2
217912_at	6.21e-01	5.49e-01	-0.604255	-7.201246	-0.1337374	DUS1L	dihydrouridine synthase 1 like
218980_at	6.21e-01	5.49e-01	0.604134	-7.20132	0.1825079	FHOD3	formin homology 2 domain containing 3
201285_at	6.21e-01	5.49e-01	-0.604021	-7.201389	-0.0987299	MKRN1	makorin ring finger protein 1
208595_s_at	6.21e-01	5.49e-01	0.603854	-7.201491	0.0786175	MBD1	methyl-CpG binding domain protein 1
205473_at	6.21e-01	5.49e-01	0.603787	-7.201532	0.097972	ATP6V1B1	ATPase H+ transporting V1 subunit B1
233254_x_at	6.22e-01	5.50e-01	-0.603379	-7.201781	-0.112848	PTEN	phosphatase and tensin homolog
227432_s_at	6.22e-01	5.50e-01	0.602845	-7.202107	0.1791392		
204324_s_at	6.22e-01	5.50e-01	-0.602833	-7.202114	-0.1702659	GOLIM4	golgi integral membrane protein 4
228380_at	6.22e-01	5.50e-01	0.602805	-7.202131	0.1269448	SENP2	SUMO1/sentrin/SMT3 specific peptidase 2
200749_at	6.22e-01	5.50e-01	-0.602777	-7.202148	-0.1087706	RAN	RAN, member RAS oncogene family
244297_at	6.22e-01	5.50e-01	0.602713	-7.202187	0.0830631	ANKRD18A	ankyrin repeat domain 18A
231967_at	6.22e-01	5.50e-01	-0.602509	-7.202311	-0.1803892	PHF20L1	PHD finger protein 20-like 1
210435_at	6.22e-01	5.50e-01	0.602375	-7.202393	0.1269491	ARL17B///ARL17A	ADP ribosylation factor like GTPase 17B///ADP ribosylation factor like GTPase 17A
226794_at	6.22e-01	5.50e-01	-0.602233	-7.202479	-0.1636039	STXBP5	syntaxin binding protein 5
222762_x_at	6.22e-01	5.50e-01	-0.602209	-7.202494	-0.0811115	LIMD1	LIM domains containing 1
1562849_at	6.23e-01	5.50e-01	-0.601966	-7.202642	-0.1184215		
202756_s_at	6.23e-01	5.51e-01	0.601845	-7.202716	0.2059394	GPC1	glypican 1
205573_s_at	6.23e-01	5.51e-01	-0.601716	-7.202794	-0.2852789	SNX7	sorting nexin 7
229955_at	6.23e-01	5.51e-01	0.601642	-7.202839	0.0770395	FBXO3	F-box protein 3
227191_at	6.23e-01	5.51e-01	-0.601637	-7.202842	-0.0917007	ITFG1	integrin alpha FG-GAP repeat containing 1
226474_at	6.23e-01	5.51e-01	-0.601404	-7.202984	-0.2437305	NLRC5	NLR family CARD domain containing 5
200619_at	6.23e-01	5.51e-01	-0.601111	-7.203162	-0.0661293	SF3B2	splicing factor 3b subunit 2
229528_at	6.23e-01	5.51e-01	0.600772	-7.203368	0.113958	SBNO1	strawberry notch homolog 1
220710_at	6.23e-01	5.51e-01	-0.600401	-7.203593	-0.0899008	ANP32A-IT1	ANP32A intronic transcript 1
223723_at	6.24e-01	5.52e-01	0.600276	-7.203669	0.1041455	MELTF	melanotransferrin
62212_at	6.24e-01	5.52e-01	0.600019	-7.203825	0.1273776	LOC100129924///C1orf50	uncharacterized LOC100129924///chromosome 1 open reading frame 50
241942_at	6.24e-01	5.52e-01	-0.599874	-7.203913	-0.2229914	PXDNL	peroxidasin like
221985_at	6.24e-01	5.52e-01	-0.599842	-7.203933	-0.1881557	KLHL24	kelch like family member 24
229517_at	6.24e-01	5.52e-01	-0.599749	-7.203989	-0.0784595	PTPDC1	protein tyrosine phosphatase domain containing 1
227515_at	6.24e-01	5.52e-01	0.59962	-7.204067	0.0824606	STAMBP	STAM binding protein
229131_at	6.24e-01	5.52e-01	0.599593	-7.204084	0.1208638	EXD2	exonuclease 3'-5' domain containing 2
232105_at	6.24e-01	5.52e-01	-0.599471	-7.204158	-0.1398022	BLACAT1	bladder cancer associated transcript 1 (non-protein coding)
225517_at	6.24e-01	5.52e-01	-0.59937	-7.204219	-0.0968724	ZNF770	zinc finger protein 770
225732_at	6.24e-01	5.52e-01	0.599061	-7.204406	0.1006769	KLHL42	kelch like family member 42
219193_at	6.24e-01	5.52e-01	0.598945	-7.204476	0.0926571	WDR70	WD repeat domain 70
209864_at	6.25e-01	5.53e-01	-0.598433	-7.204786	-0.1247866	FRAT2	frequently rearranged in advanced T-cell lymphomas 2
235828_at	6.25e-01	5.53e-01	0.598374	-7.204822	0.0902515	PRELID2	PRELI domain containing 2
223499_at	6.25e-01	5.53e-01	-0.598261	-7.20489	-0.2585776	C1QTNF5///MFRP	C1q and tumor necrosis factor related protein 5///membrane frizzled-related protein
213120_at	6.25e-01	5.53e-01	0.598256	-7.204894	0.0868933	UHRF1BP1L	UHRF1 binding protein 1 like
235207_at	6.25e-01	5.53e-01	-0.597816	-7.20516	-0.180002		
227567_at	6.25e-01	5.53e-01	0.597759	-7.205194	0.1627804	LINC00674	long intergenic non-protein coding RNA 674
209098_s_at	6.25e-01	5.53e-01	-0.597576	-7.205304	-0.155587	JAG1	jagged 1
204763_s_at	6.25e-01	5.54e-01	0.597255	-7.205499	0.0331795	GNAO1	G protein subunit alpha o1
204513_s_at	6.26e-01	5.54e-01	-0.597042	-7.205628	-0.1922729	ELMO1	engulfment and cell motility 1
228707_at	6.26e-01	5.54e-01	0.596916	-7.205703	0.2376108	CLDN23	claudin 23
210273_at	6.26e-01	5.54e-01	-0.596652	-7.205863	-0.1737403	PCDH7	protocadherin 7
203939_at	6.26e-01	5.54e-01	0.596644	-7.205868	0.2248223	NT5E	5'-nucleotidase ecto
238615_at	6.26e-01	5.54e-01	-0.596429	-7.205998	-0.1347484	ERLIN2	ER lipid raft associated 2
213268_at	6.26e-01	5.54e-01	-0.596319	-7.206063	-0.2616737	CAMTA1	calmodulin binding transcription activator 1
239623_at	6.26e-01	5.54e-01	0.596269	-7.206094	0.0804728	C5orf63	chromosome 5 open reading frame 63
201008_s_at	6.26e-01	5.54e-01	-0.596208	-7.20613	-0.2185178	TXNIP	thioredoxin interacting protein
218769_s_at	6.26e-01	5.54e-01	-0.596091	-7.206201	-0.098813	ANKRA2	ankyrin repeat family A member 2
235878_at	6.26e-01	5.55e-01	-0.595637	-7.206475	-0.1253007		
214092_x_at	6.26e-01	5.55e-01	-0.595613	-7.206489	-0.0984584	SUGP2	SURP and G-patch domain containing 2
239804_at	6.27e-01	5.55e-01	-0.595346	-7.20665	-0.115736		
238478_at	6.27e-01	5.55e-01	-0.595283	-7.206688	-0.2585272	BNC2	basonuclin 2
212225_at	6.27e-01	5.55e-01	-0.595002	-7.206857	-0.153135	EIF1	eukaryotic translation initiation factor 1
200837_at	6.27e-01	5.55e-01	-0.594983	-7.206868	-0.1070894	BCAP31	B-cell receptor-associated protein 31
209962_at	6.27e-01	5.55e-01	-0.594783	-7.206989	-0.1553743	EPOR	erythropoietin receptor
241933_at	6.27e-01	5.55e-01	-0.594501	-7.207158	-0.2455755	QRSL1	glutaminyl-tRNA synthase (glutamine-hydrolyzing)-like 1
227658_s_at	6.27e-01	5.55e-01	0.59449	-7.207165	0.0819808	PLEKHA3	pleckstrin homology domain containing A3
219760_at	6.27e-01	5.55e-01	0.594356	-7.207246	0.0810712	LIN7B	lin-7 homolog B, crumbs cell polarity complex component
241826_x_at	6.27e-01	5.56e-01	-0.59426	-7.207303	-0.0853712	ZNF738	zinc finger protein 738
205252_at	6.27e-01	5.56e-01	0.594188	-7.207346	0.0692506	ZNF174	zinc finger protein 174
212276_at	6.27e-01	5.56e-01	0.59397	-7.207478	0.203213	LPIN1	lipin 1
232647_at	6.27e-01	5.56e-01	-0.593865	-7.207541	-0.0934619	PROCA1	protein interacting with cyclin A1
213261_at	6.27e-01	5.56e-01	-0.593797	-7.207582	-0.1701349	TRANK1	tetratricopeptide repeat and ankyrin repeat containing 1
210990_s_at	6.28e-01	5.56e-01	-0.593232	-7.207921	-0.1022525	LAMA4	laminin subunit alpha 4
203849_s_at	6.28e-01	5.56e-01	-0.593181	-7.207951	-0.1957486	KIF1A	kinesin family member 1A
227251_at	6.28e-01	5.56e-01	0.592923	-7.208106	0.0861837	DCAF5	DDB1 and CUL4 associated factor 5
206087_x_at	6.28e-01	5.56e-01	-0.592899	-7.208121	-0.0832377	HFE	hemochromatosis
212288_at	6.28e-01	5.57e-01	-0.592792	-7.208184	-0.1158192	FNBP1	formin binding protein 1
207711_at	6.28e-01	5.57e-01	0.592787	-7.208188	0.1323362	SOGA1	suppressor of glucose, autophagy associated 1
206063_x_at	6.28e-01	5.57e-01	-0.592756	-7.208206	-0.056597	PPIL2	peptidylprolyl isomerase like 2
207304_at	6.28e-01	5.57e-01	-0.592725	-7.208225	-0.0713962	ZNF45	zinc finger protein 45
242190_at	6.28e-01	5.57e-01	-0.592724	-7.208225	-0.0542483		
1558938_at	6.28e-01	5.57e-01	0.592507	-7.208355	0.1233571		
233518_at	6.28e-01	5.57e-01	0.592337	-7.208458	0.2273659		
1563129_at	6.28e-01	5.57e-01	0.592178	-7.208553	0.0680529		
210910_s_at	6.28e-01	5.57e-01	-0.592125	-7.208584	-0.2259498	POMZP3	POM121 and ZP3 fusion
207950_s_at	6.28e-01	5.57e-01	-0.592122	-7.208586	-0.2073428	ANK3	ankyrin 3, node of Ranvier (ankyrin G)
210305_at	6.28e-01	5.57e-01	-0.59203	-7.208641	-0.1896409	PDE4DIP	phosphodiesterase 4D interacting protein
210996_s_at	6.29e-01	5.57e-01	0.591805	-7.208776	0.0736836	YWHAE	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein epsilon
216755_at	6.29e-01	5.57e-01	0.591788	-7.208786	0.0779837	OSBPL10	oxysterol binding protein like 10
210811_s_at	6.29e-01	5.57e-01	-0.591762	-7.208802	-0.1212247	DDX49	DEAD-box helicase 49
228614_at	6.29e-01	5.57e-01	-0.591689	-7.208845	-0.1418706	LINC00116	long intergenic non-protein coding RNA 116
228122_at	6.29e-01	5.57e-01	0.591586	-7.208907	0.1127483	CCDC66	coiled-coil domain containing 66
202564_x_at	6.29e-01	5.57e-01	0.591293	-7.209082	0.116549	ARL2	ADP ribosylation factor like GTPase 2
217058_at	6.29e-01	5.58e-01	0.591267	-7.209098	0.0675082	GNAS	GNAS complex locus
215078_at	6.29e-01	5.58e-01	-0.590902	-7.209316	-0.1740516	LOC100129518///SOD2	uncharacterized LOC100129518///superoxide dismutase 2, mitochondrial
239334_at	6.29e-01	5.58e-01	-0.590855	-7.209344	-0.0521333		
38964_r_at	6.29e-01	5.58e-01	0.590796	-7.209379	0.1050204	WAS	Wiskott-Aldrich syndrome
202135_s_at	6.29e-01	5.58e-01	-0.590744	-7.209411	-0.1006431	ACTR1B	ARP1 actin-related protein 1 homolog B, centractin beta
230193_at	6.29e-01	5.58e-01	0.590654	-7.209464	0.039625	WDR66	WD repeat domain 66
223824_at	6.29e-01	5.58e-01	-0.590556	-7.209523	-0.2146016	RNLS	renalase, FAD dependent amine oxidase
232124_at	6.29e-01	5.58e-01	0.590407	-7.209611	0.1632072	FAM198A	family with sequence similarity 198 member A
241509_at	6.29e-01	5.58e-01	-0.590393	-7.20962	-0.2021577		
1553588_at	6.29e-01	5.58e-01	-0.590288	-7.209683	-0.0470567	SH3KBP1///ND3	SH3 domain containing kinase binding protein 1///NADH dehydrogenase, subunit 3 (complex I)
203820_s_at	6.29e-01	5.58e-01	0.590286	-7.209684	0.3139844	IGF2BP3	insulin like growth factor 2 mRNA binding protein 3
243358_at	6.29e-01	5.58e-01	0.590263	-7.209698	0.1765453	IGF1R	insulin like growth factor 1 receptor
212172_at	6.29e-01	5.58e-01	0.590126	-7.20978	0.1373565	AK2	adenylate kinase 2
244219_at	6.29e-01	5.58e-01	-0.590022	-7.209842	-0.1575191		
228555_at	6.29e-01	5.58e-01	0.589971	-7.209872	0.2133567	CAMK2D	calcium/calmodulin dependent protein kinase II delta
1556336_at	6.30e-01	5.59e-01	0.589692	-7.210038	0.1885785	LOC101928747///RBMX///SNORD61	uncharacterized LOC101928747///RNA binding motif protein, X-linked///small nucleolar RNA, C/D box 61
208855_s_at	6.30e-01	5.59e-01	-0.589397	-7.210215	-0.0925578	STK24	serine/threonine kinase 24
212852_s_at	6.30e-01	5.59e-01	0.5893	-7.210272	0.072137	TROVE2	TROVE domain family member 2
224361_s_at	6.30e-01	5.59e-01	-0.589271	-7.210289	-0.1669475	IL17RB	interleukin 17 receptor B
232749_at	6.30e-01	5.59e-01	0.589074	-7.210407	0.1264526		
225045_at	6.30e-01	5.59e-01	0.588936	-7.210489	0.188043	CCDC88A	coiled-coil domain containing 88A
237784_at	6.30e-01	5.59e-01	0.588762	-7.210593	0.1560793	SUB1	SUB1 homolog, transcriptional regulator
238811_at	6.31e-01	5.60e-01	0.588277	-7.210882	0.1117064	ATP11B	ATPase phospholipid transporting 11B (putative)
204386_s_at	6.31e-01	5.60e-01	-0.587977	-7.21106	-0.1147718	MRPL57	mitochondrial ribosomal protein L57
1560703_at	6.31e-01	5.60e-01	0.587954	-7.211074	0.2953957	LYRM9	LYR motif containing 9
219817_at	6.31e-01	5.60e-01	0.587914	-7.211097	0.0555976	MAPKAPK5-AS1	MAPKAPK5 antisense RNA 1
242498_x_at	6.31e-01	5.60e-01	-0.587657	-7.21125	-0.0910435		
213055_at	6.31e-01	5.60e-01	-0.587357	-7.211429	-0.1077932	CD47	CD47 molecule
1553269_at	6.31e-01	5.60e-01	-0.587229	-7.211505	-0.2673726	ZNF718	zinc finger protein 718
236841_at	6.31e-01	5.60e-01	0.587208	-7.211517	0.084627	LOC100134445	uncharacterized LOC100134445
219635_at	6.31e-01	5.60e-01	-0.587121	-7.211569	-0.1985771	ZNF606	zinc finger protein 606
208168_s_at	6.31e-01	5.60e-01	0.586985	-7.21165	0.3064218	CHIT1	chitinase 1
239307_at	6.31e-01	5.60e-01	-0.58682	-7.211748	-0.0501902		
230682_x_at	6.32e-01	5.61e-01	-0.586456	-7.211964	-0.324875	ABCC3	ATP binding cassette subfamily C member 3
229176_at	6.32e-01	5.61e-01	0.586424	-7.211983	0.1439758	ANKH	ANKH inorganic pyrophosphate transport regulator
202306_at	6.32e-01	5.61e-01	-0.586413	-7.211989	-0.0969152	POLR2G	RNA polymerase II subunit G
209583_s_at	6.32e-01	5.61e-01	-0.586171	-7.212133	-0.2317698	CD200	CD200 molecule
204514_at	6.32e-01	5.61e-01	-0.585802	-7.212351	-0.1147549	DPH2	DPH2 homolog
238452_at	6.32e-01	5.61e-01	-0.585755	-7.212379	-0.1216073	FCRLB	Fc receptor like B
201356_at	6.33e-01	5.62e-01	-0.585041	-7.212802	-0.0986762	SF3A1	splicing factor 3a subunit 1
209578_s_at	6.33e-01	5.62e-01	-0.584884	-7.212895	-0.0900472	POFUT2	protein O-fucosyltransferase 2
