ID	Gene.symbol	Gene.title	log2(fold change)	minus_log10(p-value)
201901_s_at	YY1	YY1 transcription factor	-1.188	7.364
201906_s_at	CTDSPL	CTD small phosphatase like	1.702	6.318
201908_at	DVL3	dishevelled segment polarity protein 3	-3.161	9.761
201912_s_at	GSPT1	G1 to S phase transition 1	-3.658	18.165
201914_s_at	SEC63	"SEC63 homolog, protein translocation regulator"	-2.049	7.597
201916_s_at	SEC63	"SEC63 homolog, protein translocation regulator"	-1.625	5.392
201917_s_at	SLC25A36	solute carrier family 25 member 36	-1.426	5.319
201920_at	SLC20A1	solute carrier family 20 member 1	-2.169	15.97
201923_at	PRDX4	peroxiredoxin 4	-1.433	8.508
201925_s_at	CD55	CD55 molecule (Cromer blood group)	-1.123	2.629
201926_s_at	CD55	CD55 molecule (Cromer blood group)	-1.851	6.382
201928_at	PKP4	plakophilin 4	1.336	11.511
201929_s_at	PKP4	plakophilin 4	-1.174	2.817
201930_at	MCM6	minichromosome maintenance complex component 6	-1.921	11.204
201931_at	ETFA	electron transfer flavoprotein alpha subunit	-1.674	6.678
201935_s_at	EIF4G3	eukaryotic translation initiation factor 4 gamma 3	-2.018	7.402
201937_s_at	DNPEP	aspartyl aminopeptidase	-1.181	4.221
201938_at	CDK2AP1	cyclin dependent kinase 2 associated protein 1	-1.208	6.534
201940_at	CPD	carboxypeptidase D	-3.537	8.857
201941_at	CPD	carboxypeptidase D	-1.723	4.061
201942_s_at	CPD	carboxypeptidase D	-2.493	4.514
201943_s_at	CPD	carboxypeptidase D	-4.429	9.456
201946_s_at	CCT2	chaperonin containing TCP1 subunit 2	-4.761	13.873
201947_s_at	CCT2	chaperonin containing TCP1 subunit 2	-1.367	6.903
201950_x_at	CAPZB	capping actin protein of muscle Z-line beta subunit	-2.279	15.229
201951_at	ALCAM	activated leukocyte cell adhesion molecule	-2.396	5.981
201953_at	CIB1	calcium and integrin binding 1	-1.852	7.331
201954_at	ARPC1B	actin related protein 2/3 complex subunit 1B	-1.515	5.938
201955_at	CCNC	cyclin C	-1.053	4.437
201957_at	PPP1R12B	protein phosphatase 1 regulatory subunit 12B	1.475	4.654
201961_s_at	RNF41	ring finger protein 41	-1.16	6.365
201962_s_at	RNF41	ring finger protein 41	-1.139	4.155
201964_at	SETX	senataxin	-2.082	6.343
201967_at	RBM6	RNA binding motif protein 6	1.345	9.187
201969_at	NASP	nuclear autoantigenic sperm protein	1.396	3.698
201971_s_at	ATP6V1A	ATPase H+ transporting V1 subunit A	-5.062	19.017
201972_at	ATP6V1A	ATPase H+ transporting V1 subunit A	-1.176	7.407
201973_s_at	CCZ1B///CCZ1	"CCZ1 homolog B, vacuolar protein trafficking and biogenesis associated///CCZ1 homolog, vacuolar protein trafficking and biogenesis associated"	-1.15	8.158
201976_s_at	MYO10	myosin X	-1.866	10.5
201977_s_at	KIAA0141	KIAA0141	-1.113	5.214
201979_s_at	PPP5C	protein phosphatase 5 catalytic subunit	-2.263	14.184
201980_s_at	RSU1	Ras suppressor protein 1	-1.569	6.903
201985_at	KIAA0196	KIAA0196	-1.542	7.707
201986_at	MED13	mediator complex subunit 13	-2.175	5.555
201988_s_at	CREBL2	cAMP responsive element binding protein like 2	-1.662	3.907
201992_s_at	KIF5B	kinesin family member 5B	-2.292	8.271
201998_at	ST6GAL1	"ST6 beta-galactoside alpha-2,6-sialyltransferase 1"	-1.164	2.756
201999_s_at	DYNLT1	dynein light chain Tctex-type 1	-1.365	7.764
202006_at	PTPN12	"protein tyrosine phosphatase, non-receptor type 12"	-2.534	10.595
202008_s_at	NID1	nidogen 1	-1.251	2.945
202024_at	ASNA1	"arsA arsenite transporter, ATP-binding, homolog 1 (bacterial)"	-3.139	8.727
202028_s_at	RPL38	ribosomal protein L38	1.34	10.346
202033_s_at	RB1CC1	RB1 inducible coiled-coil 1	-2.273	9.431
202035_s_at	SFRP1	secreted frizzled related protein 1	5.658	12.252
202036_s_at	SFRP1	secreted frizzled related protein 1	7.165	10.735
202037_s_at	SFRP1	secreted frizzled related protein 1	7.57	8.969
202043_s_at	SMS	spermine synthase	-2.333	11.982
202048_s_at	CBX6	chromobox 6	1.457	5.332
202052_s_at	RAI14	retinoic acid induced 14	-1.585	4.672
202054_s_at	ALDH3A2	aldehyde dehydrogenase 3 family member A2	2.008	6.648
202055_at	KPNA1	karyopherin subunit alpha 1	-1.134	6.04
202056_at	KPNA1	karyopherin subunit alpha 1	-1.457	4.73
202058_s_at	KPNA1	karyopherin subunit alpha 1	-3.557	15.713
202059_s_at	KPNA1	karyopherin subunit alpha 1	-2.5	11.41
202062_s_at	SEL1L	SEL1L ERAD E3 ligase adaptor subunit	-2.352	11.493
202065_s_at	PPFIA1	PTPRF interacting protein alpha 1	-2.082	8.054
202067_s_at	LDLR	low density lipoprotein receptor	-3.471	12.644
202068_s_at	LDLR	low density lipoprotein receptor	-3.867	11.769
202069_s_at	IDH3A	isocitrate dehydrogenase 3 (NAD(+)) alpha	-2.387	10.448
202072_at	HNRNPL	heterogeneous nuclear ribonucleoprotein L	-1.13	5.756
202073_at	OPTN	optineurin	1.18	1.719
202074_s_at	OPTN	optineurin	1.503	4.835
202086_at	MX1	MX dynamin like GTPase 1	-1.737	2.914
202087_s_at	CTSL	cathepsin L	-1.47	6.289
202089_s_at	SLC39A6	solute carrier family 39 member 6	-1.759	4.206
202092_s_at	ARL2BP	ADP ribosylation factor like GTPase 2 binding protein	-2.093	9.775
202093_s_at	PAF1	"PAF1 homolog, Paf1/RNA polymerase II complex component"	1.341	8.368
202094_at	BIRC5	baculoviral IAP repeat containing 5	-1.694	3.338
202095_s_at	BIRC5	baculoviral IAP repeat containing 5	-5.362	14.433
202097_at	NUP153	nucleoporin 153	-2.425	9.39
202100_at	RALB	RALB Ras like proto-oncogene B	-1.108	6.618
202101_s_at	RALB	RALB Ras like proto-oncogene B	-1.927	7.737
202107_s_at	MCM2	minichromosome maintenance complex component 2	-2.492	11.369
202112_at	VWF	von Willebrand factor	3.097	12.992
202113_s_at	SNX2	sorting nexin 2	-2.281	5.895
202118_s_at	CPNE3	copine 3	-2.217	7.524
202119_s_at	CPNE3	copine 3	-1.441	4.9
202120_x_at	AP2S1	adaptor related protein complex 2 sigma 1 subunit	-1.003	7.429
202123_s_at	ABL1	"ABL proto-oncogene 1, non-receptor tyrosine kinase"	-1.344	5.422
202124_s_at	TRAK2	trafficking kinesin protein 2	-1.446	6.22
202128_at	AREL1	apoptosis resistant E3 ubiquitin protein ligase 1	-2.963	11.688
202129_s_at	RIOK3	RIO kinase 3	-3.193	13.758
202131_s_at	RIOK3	RIO kinase 3	-2.621	11.114
202134_s_at	WWTR1	WW domain containing transcription regulator 1	-1.177	2.58
202137_s_at	ZMYND11	zinc finger MYND-type containing 11	-2.602	10.093
202138_x_at	AIMP2	aminoacyl tRNA synthetase complex interacting multifunctional protein 2	-1.343	9.335
202142_at	COPS8	COP9 signalosome subunit 8	-1.12	6.487
202143_s_at	COPS8	COP9 signalosome subunit 8	-3.979	15.234
202145_at	LY6E	"lymphocyte antigen 6 complex, locus E"	-1.223	2.819
202147_s_at	IFRD1	interferon related developmental regulator 1	-1.571	5.244
202148_s_at	PYCR1	pyrroline-5-carboxylate reductase 1	-1.672	6.721
202153_s_at	NUP62	nucleoporin 62	-1.236	11.479
202154_x_at	TUBB3	tubulin beta 3 class III	-1.288	7.648
202156_s_at	CELF2	"CUGBP, Elav-like family member 2"	1.085	3.244
202157_s_at	CELF2	"CUGBP, Elav-like family member 2"	1.324	2.921
202158_s_at	CELF2	"CUGBP, Elav-like family member 2"	2.075	5.308
202162_s_at	CNOT8	CCR4-NOT transcription complex subunit 8	-2.178	10.445
202164_s_at	CNOT8	CCR4-NOT transcription complex subunit 8	-2.69	8.869
202165_at	PPP1R2	protein phosphatase 1 regulatory inhibitor subunit 2	-1.031	6.758
202166_s_at	PPP1R2	protein phosphatase 1 regulatory inhibitor subunit 2	-3.665	14.898
202168_at	AK6///TAF9	adenylate kinase 6///TATA-box binding protein associated factor 9	-1.06	4.418
202170_s_at	AASDHPPT	aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase	-1.503	7.88
202171_at	VEZF1	vascular endothelial zinc finger 1	-1.36	7.532
202173_s_at	VEZF1	vascular endothelial zinc finger 1	-1.794	7.573
202175_at	CHPF	chondroitin polymerizing factor	-1.119	5.057
202177_at	GAS6	growth arrest specific 6	1.925	4.645
202179_at	BLMH	bleomycin hydrolase	-1.788	4.457
202181_at	SUSD6	sushi domain containing 6	-1.112	6.263
202182_at	KAT2A	lysine acetyltransferase 2A	1.757	11.743
202188_at	NUP93	nucleoporin 93	-1.414	7.983
202190_at	CSTF1	cleavage stimulation factor subunit 1	-2.442	11.141
202191_s_at	GAS7	growth arrest specific 7	3.104	10.032
202192_s_at	GAS7	growth arrest specific 7	2.557	9.519
202194_at	TMED5	transmembrane p24 trafficking protein 5	-1.013	3.112
202195_s_at	TMED5	transmembrane p24 trafficking protein 5	-2.032	7.434
202200_s_at	SRPK1	SRSF protein kinase 1	-1.69	10.072
202202_s_at	LAMA4	laminin subunit alpha 4	1.711	5.233
202205_at	VASP	vasodilator-stimulated phosphoprotein	-1.65	9.484
202206_at	ARL4C	ADP ribosylation factor like GTPase 4C	-3.439	9.486
202211_at	ARFGAP3	ADP ribosylation factor GTPase activating protein 3	-1.699	7.45
202213_s_at	CUL4B	cullin 4B	-1.809	8.682
202216_x_at	NFYC	nuclear transcription factor Y subunit gamma	-1.323	5.293
202218_s_at	FADS2	fatty acid desaturase 2	-2.289	5.243
202223_at	STT3A	"STT3A, catalytic subunit of the oligosaccharyltransferase complex"	-2.281	9.98
202225_at	CRK	"CRK proto-oncogene, adaptor protein"	-1.179	5.372
202226_s_at	CRK	"CRK proto-oncogene, adaptor protein"	-2.684	9.564
202228_s_at	NPTN	neuroplastin	-1.08	5.19
202232_s_at	EIF3M	eukaryotic translation initiation factor 3 subunit M	-1.001	4.051
202234_s_at	SLC16A1	solute carrier family 16 member 1	1.071	1.629
202236_s_at	SLC16A1	solute carrier family 16 member 1	-1.639	2.109
202240_at	PLK1	polo like kinase 1	-1.387	3.885
202242_at	TSPAN7	tetraspanin 7	2.207	7.135
202246_s_at	CDK4	cyclin dependent kinase 4	-1.842	5.221
202253_s_at	DNM2	dynamin 2	-1.206	4.561
202260_s_at	STXBP1	syntaxin binding protein 1	1.919	4.002
202261_at	VPS72	vacuolar protein sorting 72 homolog	-2.247	9.068
202266_at	TDP2	tyrosyl-DNA phosphodiesterase 2	-1.077	5.351
202267_at	LAMC2	laminin subunit gamma 2	2.06	3.377
202269_x_at	GBP1	guanylate binding protein 1	-2.102	4.029
202270_at	GBP1	guanylate binding protein 1	-2.032	3.73
202272_s_at	FBXO28	F-box protein 28	-3.055	15.492
202274_at	ACTG2	"actin, gamma 2, smooth muscle, enteric"	3.403	3.833
202275_at	G6PD	glucose-6-phosphate dehydrogenase	-2.473	6.487
202278_s_at	SPTLC1	serine palmitoyltransferase long chain base subunit 1	-2.843	13.566
202289_s_at	TACC2	transforming acidic coiled-coil containing protein 2	1.31	5.76
202290_at	PDAP1	PDGFA associated protein 1	-3.742	13.937
202291_s_at	MGP	matrix Gla protein	1.82	2.795
202293_at	STAG1	stromal antigen 1	-1.589	7.44
202296_s_at	RER1	retention in endoplasmic reticulum sorting receptor 1	-1.751	6.795
202301_s_at	RSRC2	arginine and serine rich coiled-coil 2	-1.714	10.093
202302_s_at	RSRC2	arginine and serine rich coiled-coil 2	-1.125	6.805
202303_x_at	SMARCA5	"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 5"	-2.291	10.306
202307_s_at	TAP1	"transporter 1, ATP binding cassette subfamily B member"	-1.433	3.306
202310_s_at	COL1A1	collagen type I alpha 1 chain	-2.161	5.91
202311_s_at	COL1A1	collagen type I alpha 1 chain	-4.418	14.235
202314_at	LRRD1///CYP51A1	leucine rich repeats and death domain containing 1///cytochrome P450 family 51 subfamily A member 1	-1.423	8.702
202316_x_at	UBE4B	ubiquitination factor E4B	-2.138	7.784
202317_s_at	UBE4B	ubiquitination factor E4B	1.227	5.214
202320_at	GTF3C1	general transcription factor IIIC subunit 1	-1.054	6.638
202321_at	GGPS1	geranylgeranyl diphosphate synthase 1	-2.12	7.999
202322_s_at	GGPS1	geranylgeranyl diphosphate synthase 1	-1.844	13.4
202323_s_at	ACBD3	acyl-CoA binding domain containing 3	-2.415	7.547
202324_s_at	ACBD3	acyl-CoA binding domain containing 3	-1.34	10.692
202328_s_at	LOC101930075///PKD1	"polycystin-1-like///polycystin 1, transient receptor potential channel interacting"	1.366	9.473
202338_at	TK1	thymidine kinase 1	-3.557	9.776
202341_s_at	TRIM2	tripartite motif containing 2	1.447	3.323
202342_s_at	TRIM2	tripartite motif containing 2	1.386	2.532
202345_s_at	FABP5	fatty acid binding protein 5	1.32	2.031
202346_at	UBE2K	ubiquitin conjugating enzyme E2 K	-1.297	7.086
202347_s_at	UBE2K	ubiquitin conjugating enzyme E2 K	-1.152	8.691
202348_s_at	TOR1A	torsin family 1 member A	-2.665	13.012
202349_at	TOR1A	torsin family 1 member A	-1.024	6.455
202350_s_at	LOC100506558///MATN2	uncharacterized LOC100506558///matrilin 2	4.744	7.701
202352_s_at	PSMD12	"proteasome 26S subunit, non-ATPase 12"	-3.186	10.144
202353_s_at	PSMD12	"proteasome 26S subunit, non-ATPase 12"	-2.794	7.39
202354_s_at	GTF2F1	general transcription factor IIF subunit 1	-1.549	6.205
202360_at	MAML1	mastermind like transcriptional coactivator 1	-1.139	3.545
202363_at	SPOCK1	"sparc/osteonectin, cwcv and kazal-like domains proteoglycan (testican) 1"	-1.461	1.879
202365_at	UNC119B	unc-119 lipid binding chaperone B	1.275	7.335
202366_at	ACADS	"acyl-CoA dehydrogenase, C-2 to C-3 short chain"	2.173	15.039
202369_s_at	TRAM2	translocation associated membrane protein 2	-2.092	6.07
202370_s_at	CBFB	core-binding factor beta subunit	-1.86	9.777
202374_s_at	RAB3GAP2///AURKAPS1	RAB3 GTPase activating non-catalytic protein subunit 2///aurora kinase A pseudogene 1	-3.515	15.212
202375_at	SEC24D	"SEC24 homolog D, COPII coat complex component"	-2.326	13.234
202376_at	SERPINA3	serpin family A member 3	2.741	2.106
202381_at	ADAM9	ADAM metallopeptidase domain 9	-1.58	5.79
202387_at	BAG1	BCL2 associated athanogene 1	1.191	5.431
202388_at	RGS2	regulator of G-protein signaling 2	1.831	2.55
202390_s_at	HTT	huntingtin	1.583	8.479
202391_at	BASP1	brain abundant membrane attached signal protein 1	-1.576	4.16
202395_at	LOC101930324///NSF	"uncharacterized LOC101930324///N-ethylmaleimide sensitive factor, vesicle fusing ATPase"	-1.089	4.91
202396_at	TCERG1	transcription elongation regulator 1	-1.184	7.977
202397_at	NUTF2P4///NUTF2	nuclear transport factor 2 pseudogene 4///nuclear transport factor 2	-2.872	15.708
202403_s_at	COL1A2	collagen type I alpha 2 chain	-1.345	5.373
202404_s_at	COL1A2	collagen type I alpha 2 chain	-2.71	10.131
202407_s_at	PRPF31	pre-mRNA processing factor 31	-2.766	13.89
202409_at	INS-IGF2///IGF2	INS-IGF2 readthrough///insulin like growth factor 2	3.254	6.402
202410_x_at	INS-IGF2///IGF2	INS-IGF2 readthrough///insulin like growth factor 2	1.368	4.554
202411_at	IFI27	interferon alpha inducible protein 27	-1.362	1.741
202412_s_at	USP1	ubiquitin specific peptidase 1	-1.511	6.538
202414_at	ERCC5	"ERCC excision repair 5, endonuclease"	1.158	7.37
202416_at	DNAJC7	DnaJ heat shock protein family (Hsp40) member C7	-1.828	7.827
202418_at	YIF1A	"Yip1 interacting factor homolog A, membrane trafficking protein"	-1.461	8.399
202421_at	IGSF3	immunoglobulin superfamily member 3	-1.164	4.39
202427_s_at	MPC2	mitochondrial pyruvate carrier 2	-1.732	7.179
202429_s_at	PPP3CA	protein phosphatase 3 catalytic subunit alpha	-1.071	2.51
202430_s_at	PLSCR1	phospholipid scramblase 1	-1.602	3.235
202433_at	SLC35B1	solute carrier family 35 member B1	-3.422	7.667
202435_s_at	CYP1B1	cytochrome P450 family 1 subfamily B member 1	-1.858	2.897
202437_s_at	CYP1B1	cytochrome P450 family 1 subfamily B member 1	-1.405	1.655
202440_s_at	ST5	suppression of tumorigenicity 5	1.909	5.543
202444_s_at	ERLIN1	ER lipid raft associated 1	-1.752	4.781
202446_s_at	PLSCR1	phospholipid scramblase 1	-1.8	3.327
202453_s_at	GTF2H1	general transcription factor IIH subunit 1	-2.471	7.77
202454_s_at	ERBB3	erb-b2 receptor tyrosine kinase 3	-2.22	6.614
202455_at	HDAC5	histone deacetylase 5	1.861	11.102
202458_at	PRSS23	"protease, serine 23"	-2.115	7.053
202459_s_at	LPIN2	lipin 2	-2.098	6.295
202463_s_at	MBD3	methyl-CpG binding domain protein 3	1.03	8.253
202464_s_at	PFKFB3	"6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3"	1.436	2.693
202468_s_at	CTNNAL1	catenin alpha like 1	1.413	2.81
202469_s_at	CPSF6	cleavage and polyadenylation specific factor 6	-1.415	15.885
202471_s_at	IDH3G	isocitrate dehydrogenase 3 (NAD(+)) gamma	-1.085	5.435
202478_at	TRIB2	tribbles pseudokinase 2	-1.798	2.718
202479_s_at	TRIB2	tribbles pseudokinase 2	-2.197	4.371
202480_s_at	DEDD	death effector domain containing	-2.378	9.243
202481_at	DHRS3	dehydrogenase/reductase 3	1.682	5.039
202483_s_at	RANBP1	RAN binding protein 1	-1.944	13.637
202484_s_at	MBD2	methyl-CpG binding domain protein 2	-1.013	3.78
202487_s_at	H2AFV	H2A histone family member V	-2.993	18.669
202489_s_at	FXYD3	FXYD domain containing ion transport regulator 3	-1.407	1.794
202495_at	TBCC	tubulin folding cofactor C	-2.645	10.18
202498_s_at	SLC2A3	solute carrier family 2 member 3	-1.051	3.189
202500_at	DNAJB2	DnaJ heat shock protein family (Hsp40) member B2	1.294	5.605
202501_at	MAPRE2	microtubule associated protein RP/EB family member 2	-1.649	5.166
202503_s_at	KIAA0101	KIAA0101	-6.756	24.009
202504_at	TRIM29	tripartite motif containing 29	2.51	2.901
202506_at	SSFA2	sperm specific antigen 2	-1.242	2.695
202511_s_at	ATG5	autophagy related 5	-2.234	6.455
202514_at	DLG1	discs large MAGUK scaffold protein 1	-1.895	8.727
202516_s_at	DLG1	discs large MAGUK scaffold protein 1	-2.803	12.068
202525_at	PRSS8	"protease, serine 8"	-1.716	6.371
202527_s_at	SMAD4	SMAD family member 4	-1.91	5.778
202528_at	GALE	UDP-galactose-4-epimerase	-2.451	9.517
202531_at	IRF1	interferon regulatory factor 1	-1.206	2.354
202535_at	FADD	Fas associated via death domain	-1.219	5.929
202537_s_at	CHMP2B	charged multivesicular body protein 2B	-1.31	7.509
202538_s_at	CHMP2B	charged multivesicular body protein 2B	-1.664	7.493
202539_s_at	HMGCR	3-hydroxy-3-methylglutaryl-CoA reductase	-3.082	12.539
202540_s_at	HMGCR	3-hydroxy-3-methylglutaryl-CoA reductase	-1.614	7.103
202541_at	AIMP1	aminoacyl tRNA synthetase complex interacting multifunctional protein 1	-1.236	6.09
202543_s_at	GMFB	glia maturation factor beta	-4.557	23.175
202545_at	PRKCD	protein kinase C delta	-2.99	7.372
202546_at	VAMP8	vesicle associated membrane protein 8	-1.624	9.24
202551_s_at	LOC101929500///CRIM1	uncharacterized LOC101929500///cysteine rich transmembrane BMP regulator 1	1.485	5.98
202552_s_at	LOC101929500///CRIM1	uncharacterized LOC101929500///cysteine rich transmembrane BMP regulator 1	2.866	14.727
202553_s_at	SYF2	SYF2 pre-mRNA splicing factor	1.452	11.867
202555_s_at	MYLK	myosin light chain kinase	2.989	8.673
202557_at	HSPA13	heat shock protein family A (Hsp70) member 13	-1.316	6.74
202558_s_at	HSPA13	heat shock protein family A (Hsp70) member 13	-2.407	8.613
202561_at	TNKS	tankyrase	1.6	8.911
202562_s_at	C14orf1	chromosome 14 open reading frame 1	-1.024	4.631
202566_s_at	SVIL	supervillin	-1.144	3.634
202570_s_at	DLGAP4	DLG associated protein 4	-1.333	5.95
202572_s_at	DLGAP4	DLG associated protein 4	-1.019	3.712
202574_s_at	CSNK1G2	casein kinase 1 gamma 2	-1.276	5.163
202576_s_at	DDX19A///DDX19B	DEAD-box helicase 19A///DEAD-box helicase 19B	-1.018	7.831
202578_s_at	DDX19A	DEAD-box helicase 19A	-2.221	8.921
202579_x_at	HMGN4	high mobility group nucleosomal binding domain 4	-1.299	3.76
202580_x_at	FOXM1	forkhead box M1	-2.821	7.894
202581_at	HSPA1B///HSPA1A	heat shock protein family A (Hsp70) member 1B///heat shock protein family A (Hsp70) member 1A	-2.526	11.562
202582_s_at	RANBP9	RAN binding protein 9	-1.674	11.765
202583_s_at	RANBP9	RAN binding protein 9	-4.898	18.283
202589_at	TYMS	thymidylate synthetase	-4.025	13.449
202590_s_at	PDK2	pyruvate dehydrogenase kinase 2	1.256	4.935
202591_s_at	SSBP1	single stranded DNA binding protein 1	-1.3	8.369
202593_s_at	GDE1	glycerophosphodiester phosphodiesterase 1	-4.738	15.033
202595_s_at	LEPROTL1	leptin receptor overlapping transcript-like 1	-2.414	9.7
202598_at	S100A13	S100 calcium binding protein A13	1.395	4.714
202600_s_at	NRIP1	nuclear receptor interacting protein 1	-2.402	9.045
202604_x_at	ADAM10	ADAM metallopeptidase domain 10	-1.651	7.635
202610_s_at	MED14	mediator complex subunit 14	-1.291	9.334
202611_s_at	MED14	mediator complex subunit 14	-1.459	6.26
202613_at	CTPS1	CTP synthase 1	-3.887	15.737
202619_s_at	PLOD2	"procollagen-lysine,2-oxoglutarate 5-dioxygenase 2"	-3.173	7.708
202620_s_at	PLOD2	"procollagen-lysine,2-oxoglutarate 5-dioxygenase 2"	-1.054	1.993
202626_s_at	LYN	"LYN proto-oncogene, Src family tyrosine kinase"	-2.031	4.069
202627_s_at	SERPINE1	serpin family E member 1	-2.101	5.671
202628_s_at	SERPINE1	serpin family E member 1	-3.886	11.686
202629_at	APPBP2	amyloid beta precursor protein binding protein 2	-1.684	3.943
202631_s_at	APPBP2	amyloid beta precursor protein binding protein 2	-2.881	6.917
202633_at	TOPBP1	topoisomerase (DNA) II binding protein 1	-1.753	8.763
202634_at	POLR2K	RNA polymerase II subunit K	-1.151	4.267
202635_s_at	POLR2K	RNA polymerase II subunit K	-2.714	10.341
202636_at	RNF103	ring finger protein 103	-1.632	8.75
202637_s_at	ICAM1	intercellular adhesion molecule 1	-2.434	8.684
202638_s_at	ICAM1	intercellular adhesion molecule 1	-2.083	5.156
202642_s_at	TRRAP	transformation/transcription domain associated protein	-1.422	4.473
202643_s_at	TNFAIP3	TNF alpha induced protein 3	-3.066	12.823
202644_s_at	TNFAIP3	TNF alpha induced protein 3	-1.148	4.566
202645_s_at	MEN1	menin 1	-1.695	7.153
202646_s_at	CSDE1	cold shock domain containing E1	1.14	8.539
202647_s_at	NRAS	neuroblastoma RAS viral oncogene homolog	-2.961	8.526
202651_at	LPGAT1	lysophosphatidylglycerol acyltransferase 1	-1.064	4.47
202654_x_at	Mar 07	membrane associated ring-CH-type finger 7	-3.523	16.121
202655_at	MANF	mesencephalic astrocyte derived neurotrophic factor	-1.094	5.491
202658_at	PEX11B	peroxisomal biogenesis factor 11 beta	-1.632	7.018
202660_at	ITPR2	"inositol 1,4,5-trisphosphate receptor type 2"	1.278	5.375
202661_at	ITPR2	"inositol 1,4,5-trisphosphate receptor type 2"	1.118	4.266
202663_at	WIPF1	WAS/WASL interacting protein family member 1	-1.219	3.319
202665_s_at	WIPF1	WAS/WASL interacting protein family member 1	-1.383	3.836
202666_s_at	ACTL6A	actin like 6A	-2.154	15.558
202667_s_at	SLC39A7	solute carrier family 39 member 7	-2.917	15.541
202669_s_at	EFNB2	ephrin B2	-1.479	2.753
202670_at	MAP2K1	mitogen-activated protein kinase kinase 1	-1.547	6.266
202671_s_at	PDXK	"pyridoxal (pyridoxine, vitamin B6) kinase"	-1.054	2.86
202673_at	DPM1	"dolichyl-phosphate mannosyltransferase subunit 1, catalytic"	-1.669	10.62
202675_at	SDHB	succinate dehydrogenase complex iron sulfur subunit B	-1.39	6.162
202678_at	GTF2A2	general transcription factor IIA subunit 2	-1.117	6.024
202680_at	GTF2E2	general transcription factor IIE subunit 2	-1.179	3.344
202687_s_at	TNFSF10	tumor necrosis factor superfamily member 10	-1.837	3.442
202690_s_at	SNRPD1	small nuclear ribonucleoprotein D1 polypeptide	-1.256	7.897
202693_s_at	STK17A	serine/threonine kinase 17a	-2.016	8.88
202696_at	OXSR1	oxidative stress responsive 1	-1.786	6.499
202697_at	NUDT21	nudix hydrolase 21	-2.907	12.205
202699_s_at	TMEM63A	transmembrane protein 63A	-1.166	4.018
202702_at	TRIM26	tripartite motif containing 26	-1.344	7.657
202703_at	DUSP11	dual specificity phosphatase 11	-1.125	7.447
202704_at	TOB1	"transducer of ERBB2, 1"	-1.798	4.756
202705_at	CCNB2	cyclin B2	-5.169	21.022
202706_s_at	UMPS	uridine monophosphate synthetase	-1.556	7.279
202708_s_at	HIST2H2BE	"histone cluster 2, H2be"	-3.417	7.098
202709_at	FMOD	fibromodulin	1.982	4.463
202710_at	BET1	Bet1 golgi vesicular membrane trafficking protein	-1.21	7.426
202712_s_at	CKMT1A///CKMT1B	"creatine kinase, mitochondrial 1A///creatine kinase, mitochondrial 1B"	-2.563	3.517
202713_s_at	KIAA0391///PSMA6	KIAA0391///proteasome subunit alpha 6	-1.494	7.419
202715_at	CAD	"carbamoyl-phosphate synthetase 2, aspartate transcarbamylase, and dihydroorotase"	-1.281	5.531
202719_s_at	TES	testin LIM domain protein	-1.037	4.596
202721_s_at	GFPT1	glutamine--fructose-6-phosphate transaminase 1	-3.413	15.078
202722_s_at	GFPT1	glutamine--fructose-6-phosphate transaminase 1	-3.096	11.879
202723_s_at	FOXO1	forkhead box O1	1.263	2.87
202724_s_at	FOXO1	forkhead box O1	1.365	4.307
202731_at	MIR4680///PDCD4	microRNA 4680///programmed cell death 4 (neoplastic transformation inhibitor)	-1.283	2.656
202733_at	LOC101927705///P4HA2	uncharacterized LOC101927705///prolyl 4-hydroxylase subunit alpha 2	-2.486	8.236
202736_s_at	LSM4	"LSM4 homolog, U6 small nuclear RNA and mRNA degradation associated"	-4.073	13.294
202737_s_at	LSM4	"LSM4 homolog, U6 small nuclear RNA and mRNA degradation associated"	-1.118	5.878
202738_s_at	PHKB	phosphorylase kinase regulatory subunit beta	-1.271	7.027
202742_s_at	PRKACB	protein kinase cAMP-activated catalytic subunit beta	-1.827	5.531
202743_at	PIK3R3	phosphoinositide-3-kinase regulatory subunit 3	-2.609	8.124
202744_at	SLC20A2	solute carrier family 20 member 2	-1.822	6.64
202746_at	ITM2A	integral membrane protein 2A	3.643	7.611
202747_s_at	ITM2A	integral membrane protein 2A	3.276	6.689
202749_at	WRB	tryptophan rich basic protein	-1.372	5.439
202754_at	R3HDM1	R3H domain containing 1	-1.152	7.566
202761_s_at	SYNE2	spectrin repeat containing nuclear envelope protein 2	-1.476	3.495
202763_at	CASP3	caspase 3	-1.688	11.412
202765_s_at	FBN1	fibrillin 1	-3.908	11.189
202767_at	ACP2	"acid phosphatase 2, lysosomal"	-1.325	7.639
202770_s_at	CCNG2	cyclin G2	-1.761	5.023
202772_at	HMGCL	3-hydroxymethyl-3-methylglutaryl-CoA lyase	1.029	3.675
202773_s_at	SFSWAP	splicing factor SWAP homolog	-1.461	5.166
202779_s_at	UBE2S	ubiquitin conjugating enzyme E2 S	-4.617	19.826
202783_at	NNT	nicotinamide nucleotide transhydrogenase	-1.125	2.41
202784_s_at	NNT	nicotinamide nucleotide transhydrogenase	-1.431	2.391
