ID	Gene.symbol	Gene.title	log2(fold change)	minus_log10(p-value)
219031_s_at	NIP7	"NIP7, nucleolar pre-rRNA processing protein"	-1.17	7.061
219032_x_at	OPN3	opsin 3	-3.039	9.795
219033_at	PARP8	poly(ADP-ribose) polymerase family member 8	-2.079	5.341
219035_s_at	RNF34	ring finger protein 34	-1.756	6.167
219037_at	RRP15	ribosomal RNA processing 15 homolog	-1.854	12.095
219043_s_at	PDCL3P4///PDCL3	phosducin-like 3 pseudogene 4///phosducin like 3	-1.505	8.34
219044_at	THNSL2	threonine synthase like 2	1.425	3.439
219049_at	CSGALNACT1	chondroitin sulfate N-acetylgalactosaminyltransferase 1	-1.082	2.075
219051_x_at	METRN	"meteorin, glial cell differentiation regulator"	-1.078	1.63
219054_at	NPR3	natriuretic peptide receptor 3	1.551	1.864
219058_x_at	TINAGL1	tubulointerstitial nephritis antigen like 1	1.896	15.214
219059_s_at	LYVE1	lymphatic vessel endothelial hyaluronan receptor 1	3.458	8.911
219060_at	WDYHV1	WDYHV motif containing 1	-1.307	7.298
219061_s_at	LAGE3	L antigen family member 3	-2.597	11.876
219064_at	ITIH5	inter-alpha-trypsin inhibitor heavy chain family member 5	5.539	18.409
219065_s_at	DPY30///MEMO1	"dpy-30, histone methyltransferase complex regulatory subunit///mediator of cell motility 1"	-1.823	15.644
219073_s_at	OSBPL10	oxysterol binding protein like 10	-1.695	6.133
219077_s_at	WWOX	WW domain containing oxidoreductase	1.271	2.273
219078_at	GPATCH2	G-patch domain containing 2	-1.536	5.991
219079_at	CYB5R4	cytochrome b5 reductase 4	-3.408	13.307
219080_s_at	CTPS2	CTP synthase 2	-1.7	7.692
219081_at	ANKHD1-EIF4EBP3///ANKHD1	ANKHD1-EIF4EBP3 readthrough///ankyrin repeat and KH domain containing 1	-1.803	6.095
219087_at	ASPN	asporin	-1.851	2.971
219091_s_at	MMRN2	multimerin 2	2.391	7.968
219092_s_at	IPPK	inositol-pentakisphosphate 2-kinase	-1.299	7.695
219093_at	PID1	phosphotyrosine interaction domain containing 1	3.299	11.542
219095_at	PLA2G4B///JMJD7-PLA2G4B	phospholipase A2 group IVB///JMJD7-PLA2G4B readthrough	1.706	12.587
219098_at	MYBBP1A	MYB binding protein 1a	1.339	10.291
219099_at	TIGAR	TP53 induced glycolysis regulatory phosphatase	-3.894	17.571
219105_x_at	ORC6	origin recognition complex subunit 6	-1.238	7.64
219109_at	SPAG16	sperm associated antigen 16	1.417	2.512
219111_s_at	DDX54	DEAD-box helicase 54	1.058	8.186
219114_at	C3orf18	chromosome 3 open reading frame 18	2.029	17.063
219118_at	FKBP11	FK506 binding protein 11	-1.024	2.228
219119_at	LSM8	"LSM8 homolog, U6 small nuclear RNA associated"	-1.556	10.323
219121_s_at	ESRP1	epithelial splicing regulatory protein 1	-6.192	24.356
219125_s_at	SLC50A1	solute carrier family 50 member 1	-2.147	12.253
219127_at	PRR15L	proline rich 15 like	-2.679	6.525
219128_at	C2orf42	chromosome 2 open reading frame 42	-1.281	4.249
219132_at	PELI2	pellino E3 ubiquitin protein ligase family member 2	1.687	7.679
219133_at	OXSM	"3-oxoacyl-ACP synthase, mitochondrial"	-1.148	3.953
219134_at	ADGRL4	adhesion G protein-coupled receptor L4	1.71	5.53
219140_s_at	RBP4	retinol binding protein 4	6.927	12.855
219146_at	TEFM	"transcription elongation factor, mitochondrial"	-1.132	3.988
219148_at	PBK	PDZ binding kinase	-4.227	12.1
219158_s_at	NAA15	"N(alpha)-acetyltransferase 15, NatA auxiliary subunit"	-2.077	12.526
219159_s_at	SLAMF7	SLAM family member 7	-1.601	2.122
219161_s_at	CKLF-CMTM1///CKLF	CKLF-CMTM1 readthrough///chemokine like factor	-1.808	9.75
219166_at	DNAAF2	dynein axonemal assembly factor 2	-1.054	6.552
219167_at	RASL12	RAS like family 12	1.56	7.384
219173_at	MYO15B	myosin XVB	2.358	6.238
219178_at	QTRT2	queuine tRNA-ribosyltransferase accessory subunit 2	-1.315	5.91
219179_at	DACT1	dishevelled binding antagonist of beta catenin 1	-2.212	4.492
219184_x_at	TIMM22	translocase of inner mitochondrial membrane 22 homolog (yeast)	2.144	5.798
219189_at	FBXL6	F-box and leucine rich repeat protein 6	-2.44	7.432
219197_s_at	SCUBE2	"signal peptide, CUB domain and EGF like domain containing 2"	2.937	3.476
219198_at	GTF3C4	general transcription factor IIIC subunit 4	-1.428	5.064
219200_at	FASTKD3	FAST kinase domains 3	-1.816	8.458
