Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Protein Localization to Condensed Chromosome (GO:1903083)	1/12	0.00598509351248777	0.016957764952048683	0	0	201.8080808080808	1032.9512945731403	TTK
Nuclear Membrane Disassembly (GO:0051081)	1/12	0.00598509351248777	0.016957764952048683	0	0	201.8080808080808	1032.9512945731403	PLK1
Golgi Inheritance (GO:0048313)	1/12	0.00598509351248777	0.016957764952048683	0	0	201.8080808080808	1032.9512945731403	PLK1
Protein Polyubiquitination (GO:0000209)	2/246	0.00635319399326557	0.017492178311846053	0	0	20.23155737704918	102.34735393301293	UBE2C;UBE2T
Protein K27-linked Ubiquitination (GO:0044314)	1/13	0.006482395492037067	0.017492178311846053	0	0	184.9814814814815	932.059746399125	UBE2T
Protein Localization to Kinetochore (GO:0034501)	1/13	0.006482395492037067	0.017492178311846053	0	0	184.9814814814815	932.059746399125	TTK
Regulation of Exit From Mitosis (GO:0007096)	1/14	0.006979473680213335	0.01853922696306667	0	0	170.74358974358975	847.7046615380154	UBE2C
Regulation of Integrin Activation (GO:0033623)	1/15	0.0074763281564485876	0.01925720888782212	0	0	158.53968253968253	776.212425317664	KIF14
Astral Microtubule Organization (GO:0030953)	1/15	0.0074763281564485876	0.01925720888782212	0	0	158.53968253968253	776.212425317664	PLK1
Protein K6-linked Ubiquitination (GO:0085020)	1/16	0.00797295899684864	0.020229895962153268	0	0	147.96296296296296	714.9125872208035	UBE2T
Microtubule Depolymerization (GO:0007019)	1/18	0.008965550093347357	0.0220890364618703	0	0	130.54248366013073	615.425022203049	KIF14
Regulation of Cell Cycle G2/M Phase Transition (GO:1902749)	1/18	0.008965550093347357	0.0220890364618703	0	0	130.54248366013073	615.425022203049	KIF14
Establishment of Spindle Localization (GO:0051293)	1/19	0.009461510512395743	0.022339677598712172	0	0	123.28395061728395	574.5677163606151	NUSAP1
Protein Localization to Chromosome, Centromeric Region (GO:0071459)	1/19	0.009461510512395743	0.022339677598712172	0	0	123.28395061728395	574.5677163606151	TTK
Meiotic Sister Chromatid Cohesion (GO:0051177)	1/19	0.009461510512395743	0.022339677598712172	0	0	123.28395061728395	574.5677163606151	BUB1
Regulation of Chromosome Segregation (GO:0051983)	1/20	0.009957247624386196	0.023188110906104842	0	0	116.78947368421052	538.3357753631753	BUB1
Regulation of Spindle Organization (GO:0090224)	1/21	0.010452761511867668	0.023692926093566713	0	0	110.94444444444444	506.0053047065427	TPX2
Regulation of Meiotic Cell Cycle (GO:0051445)	1/21	0.010452761511867668	0.023692926093566713	0	0	110.94444444444444	506.0053047065427	CDC20
DNA Repair (GO:0006281)	2/325	0.010868261312522776	0.024310584514853576	0	0	15.222136222910217	68.83310783658636	UBE2T;PLK1
Regulation of Cell Cycle (GO:0051726)	2/329	0.011125963288945565	0.024563815053516184	0	0	15.032874617737003	67.62499361239374	CDC20;PLK1
Negative Regulation of Microtubule Depolymerization (GO:0007026)	1/23	0.01144311994957642	0.024940133223435787	0	0	100.84848484848484	450.8296990682604	TPX2
Proteasomal Protein Catabolic Process (GO:0010498)	2/340	0.01184870709989248	0.02549721780989521	0	0	14.535502958579881	64.47275425074244	UBE2C;KIF14
Negative Regulation of Double-Strand Break Repair via Homologous Recombination (GO:2000042)	1/25	0.012432586505539576	0.02609308278940405	0	0	92.43518518518519	405.55330287566494	PLK1
Regulation of Mitotic Spindle Assembly (GO:1901673)	1/25	0.012432586505539576	0.02609308278940405	0	0	92.43518518518519	405.55330287566494	PLK1
Negative Regulation of Protein Depolymerization (GO:1901880)	1/26	0.012926985542465876	0.02647695833999035	0	0	88.73333333333333	385.85142072369416	TPX2
Positive Regulation of Nuclear Division (GO:0051785)	1/26	0.012926985542465876	0.02647695833999035	0	0	88.73333333333333	385.85142072369416	NUSAP1
Mitotic Cytokinetic Process (GO:1902410)	1/27	0.013421161865694831	0.026842323731389662	0	0	85.31623931623932	367.79170199807675	PLK1
Regulation of Protein Localization to Cell Periphery (GO:1904375)	1/27	0.013421161865694831	0.026842323731389662	0	0	85.31623931623932	367.79170199807675	PLK1
Regulation of Myelination (GO:0031641)	1/28	0.01391511556314784	0.027174689097984553	0	0	82.1522633744856	351.18281785053944	KIF14
Protein Depolymerization (GO:0051261)	1/28	0.01391511556314784	0.027174689097984553	0	0	82.1522633744856	351.18281785053944	KIF14
Protein Ubiquitination (GO:0016567)	2/372	0.014066897886015534	0.027174689097984553	0	0	13.256756756756756	56.525894892855064	UBE2C;UBE2T
Microtubule Polymerization or Depolymerization (GO:0031109)	1/29	0.014408846721137443	0.027216710473259614	0	0	79.21428571428571	335.8616722924233	KIF14
Regulation of Microtubule Depolymerization (GO:0031114)	1/29	0.014408846721137443	0.027216710473259614	0	0	79.21428571428571	335.8616722924233	TPX2
Microtubule Nucleation (GO:0007020)	1/31	0.015395641764484845	0.028448468477852432	0	0	73.92592592592592	308.5424792813036	TPX2
Mitotic G2 DNA Damage Checkpoint Signaling (GO:0007095)	1/31	0.015395641764484845	0.028448468477852432	0	0	73.92592592592592	308.5424792813036	PLK1
Regulation of Spindle Assembly (GO:0090169)	1/34	0.016874167453351394	0.029961205687949462	0	0	67.1952861952862	274.2892350890436	PLK1
Negative Regulation of Microtubule Polymerization or Depolymerization (GO:0031111)	1/34	0.016874167453351394	0.029961205687949462	0	0	67.1952861952862	274.2892350890436	TPX2
Protein Localization to Chromatin (GO:0071168)	1/34	0.016874167453351394	0.029961205687949462	0	0	67.1952861952862	274.2892350890436	PLK1
Negative Regulation of Programmed Cell Death (GO:0043069)	2/410	0.016919269094371463	0.029961205687949462	0	0	11.998774509803921	48.94662633687235	PLK1;KIF14
Establishment of Mitotic Spindle Localization (GO:0040001)	1/36	0.017858741011932532	0.03129882445390238	0	0	63.34920634920635	254.99716559529233	NUSAP1
Negative Regulation of Double-Strand Break Repair (GO:2000780)	1/37	0.01835069498318965	0.03183283823614531	0	0	61.58641975308642	246.22791539772206	PLK1
Regulation of G2/M Transition of Mitotic Cell Cycle (GO:0010389)	1/39	0.019333937749796665	0.03319969108550942	0	0	58.33918128654971	230.20018425524987	KIF14
Positive Regulation of SMAD Protein Signal Transduction (GO:0060391)	1/40	0.019825226718581047	0.03336919348672057	0	0	56.84045584045584	222.86006355256757	TTK
Regulation of Cell Cycle Phase Transition (GO:1901987)	1/40	0.019825226718581047	0.03336919348672057	0	0	56.84045584045584	222.86006355256757	PLK1
Protein Monoubiquitination (GO:0006513)	1/41	0.02031629419703573	0.03353174770384538	0	0	55.416666666666664	215.92173416578154	UBE2T
Positive Regulation of Cytokinesis (GO:0032467)	1/41	0.02031629419703573	0.03353174770384538	0	0	55.416666666666664	215.92173416578154	KIF14
Negative Regulation of DNA Recombination (GO:0045910)	1/43	0.0212977650246516	0.033837570599913755	0	0	52.77248677248677	203.12938317607103	PLK1
Substrate Adhesion-Dependent Cell Spreading (GO:0034446)	1/43	0.0212977650246516	0.033837570599913755	0	0	52.77248677248677	203.12938317607103	KIF14
Regulation of Nervous System Development (GO:0051960)	1/43	0.0212977650246516	0.033837570599913755	0	0	52.77248677248677	203.12938317607103	KIF14
Microtubule Polymerization (GO:0046785)	1/43	0.0212977650246516	0.033837570599913755	0	0	52.77248677248677	203.12938317607103	TPX2
G2/M Transition of Mitotic Cell Cycle (GO:0000086)	1/45	0.022278350937474194	0.034430178721551026	0	0	50.36868686868687	191.60953052295554	PLK1
Positive Regulation of Cell Division (GO:0051781)	1/45	0.022278350937474194	0.034430178721551026	0	0	50.36868686868687	191.60953052295554	KIF14
Regulation of Chromosome Organization (GO:0033044)	1/45	0.022278350937474194	0.034430178721551026	0	0	50.36868686868687	191.60953052295554	BUB1
Positive Regulation of Cell Population Proliferation (GO:0008284)	2/486	0.02330436051868742	0.035691362956548296	0	0	10.075413223140496	37.874634854362974	KIF14;TTK
Mitotic Spindle Assembly (GO:0090307)	1/48	0.0237475721230066	0.03604542197242073	0	0	47.146572104018915	176.3411440394006	TPX2
Cell Cycle G2/M Phase Transition (GO:0044839)	1/49	0.024236870821197704	0.03623809123928537	0	0	46.16203703703704	171.71724838044534	PLK1
Negative Regulation of Apoptotic Process (GO:0043066)	2/497	0.0243008376545796	0.03623809123928537	0	0	9.845959595959595	36.599838740274976	PLK1;KIF14
Ubiquitin-dependent Protein Catabolic Process (GO:0006511)	2/502	0.024759656304681167	0.036601231059093894	0	0	9.745	36.04226949668625	UBE2C;KIF14
Mitotic G2/M Transition Checkpoint (GO:0044818)	1/51	0.02521480619684272	0.036952733219510876	0	0	44.31111111111111	163.07924167915206	PLK1
Double-strand Break Repair via Nonhomologous End Joining (GO:0006303)	1/52	0.025703443051659298	0.03734688306651351	0	0	43.4400871459695	159.03982037824832	PLK1
